Dates,Active-Count,CPU-Utilization,Total-Memory-Usage,Average-Temperature
09-08-2018 00:00,8112,17,42.214412,35.45454545
09-08-2018 00:15,8095,15,42.27149756,35.54545455
09-08-2018 00:30,8180,15,42.15955987,34.27272727
09-08-2018 00:45,8248,16,42.15566605,34.72727273
09-08-2018 01:00,8453,14,42.15216725,34
09-08-2018 01:15,8620,15,42.20882521,34.72727273
09-08-2018 01:30,8837,17,42.1513772,35.36363636
09-08-2018 01:45,9031,17,42.25928436,35.27272727
09-08-2018 02:00,9264,17,42.14680619,34.72727273
09-08-2018 02:15,9508,18,42.26125075,33.90909091
09-08-2018 02:30,9754,20,42.26057357,33.72727273
09-08-2018 02:45,9996,20,42.19110549,33.63636364
09-08-2018 03:00,10262,19,42.1669525,33.54545455
09-08-2018 03:15,10489,21,42.19669228,33.54545455
09-08-2018 03:30,10958,22,42.12220174,33.54545455
09-08-2018 03:45,11568,27,42.17112848,35.72727273
09-08-2018 04:00,12263,27,42.11520414,35.09090909
09-08-2018 04:15,13091,28,42.11520414,35.09090909
09-08-2018 04:30,13956,31,42.11520414,35.27272727
09-08-2018 04:45,14735,34,42.17699743,35.72727273
09-08-2018 05:00,15393,33,42.20560857,35.45454545
09-08-2018 05:15,15662,33,42.26068643,35.81818182
09-08-2018 05:30,15943,35,42.51491363,37.27272727
09-08-2018 05:45,16004,37,42.4206718,35
09-08-2018 06:00,16060,35,42.24381319,34.18181818
09-08-2018 06:15,16212,35,42.20628576,36.27272727
09-08-2018 06:30,16304,38,42.47653971,34.18181818
09-08-2018 06:45,16343,38,42.47653971,34.18181818
09-08-2018 07:00,16290,34,42.35250167,35.45454545
09-08-2018 07:15,16312,35,42.35131659,35.45454545
09-08-2018 07:30,16316,36,42.45413612,35.18181818
09-08-2018 07:45,16255,34,42.24183807,35.27272727
09-08-2018 08:00,16201,33,42.17197496,33.81818182
09-08-2018 08:15,16149,35,42.14505679,33.45454545
09-08-2018 08:30,16082,34,42.13879281,34.81818182
09-08-2018 08:45,16145,37,42.14643495,35.54545455
09-08-2018 09:00,16131,32,42.24959312,35.45454545
09-08-2018 09:15,16093,35,42.23667014,35.63636364
09-08-2018 09:30,16115,27,42.38153175,32.63636364
09-08-2018 09:45,16212,17,42.25636499,33.72727273
09-08-2018 10:00,16251,29,42.22544012,33.45454545
09-08-2018 10:15,16308,29,42.20726893,33
