Date,new_cases
2020-01-30,0
2020-01-31,0
2020-02-01,0.33333
2020-02-02,0.5
2020-02-03,0.6
2020-02-04,0.5
2020-02-05,0.42857
2020-02-06,0.28571
2020-02-07,0.28571
2020-02-08,0.28571
2020-02-09,0.14286
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0.28571
2020-03-03,0.28571
2020-03-04,3.57143
2020-03-05,3.85714
2020-03-06,4
2020-03-07,4.42857
2020-03-08,5.14286
2020-03-09,5.42857
2020-03-10,7.28571
2020-03-11,4.85714
2020-03-12,6.14286
2020-03-13,7.28571
2020-03-14,9.71429
2020-03-15,10.57143
2020-03-16,10.85714
2020-03-17,12.28571
2020-03-18,13.42857
2020-03-19,17.28571
2020-03-20,23.14286
2020-03-21,32.57143
2020-03-22,40.42857
2020-03-23,54.28571
2020-03-24,56.28571
2020-03-25,71.57143
2020-03-26,76.14286
2020-03-27,91.85714
2020-03-28,93.85714
2020-03-29,89.71429
2020-03-30,107.42857
2020-03-31,123
2020-04-01,191.57143
2020-04-02,259.42857
2020-04-03,240
2020-04-04,299.28571
2020-04-05,366.28571
2020-04-06,503.85714
2020-04-07,559.14286
2020-04-08,559.71429
2020-04-09,597.42857
2020-04-10,718.71429
2020-04-11,766.28571
2020-04-12,802.42857
2020-04-13,810.71429
2020-04-14,882.28571
2020-04-15,915.14286
2020-04-16,957.85714
2020-04-17,964.85714
2020-04-18,1039.42857
2020-04-19,1201.42857
2020-04-20,1155.14286
2020-04-21,1227.57143
2020-04-22,1292.57143
2020-04-23,1378.14286
2020-04-24,1454
2020-04-25,1508.71429
2020-04-26,1467.85714
2020-04-27,1558.85714
2020-04-28,1606.28571
2020-04-29,1670.28571
2020-04-30,1683.71429
2020-05-01,1818.14286
2020-05-02,1916.57143
2020-05-03,2087.85714
2020-05-04,2426.57143
2020-05-05,2582.28571
2020-05-06,2846.42857
2020-05-07,3069.71429
2020-05-08,3205.42857
2020-05-09,3301.28571
2020-05-10,3522.28571
2020-05-11,3475.85714
2020-05-12,3556
2020-05-13,3581.14286
2020-05-14,3663.71429
2020-05-15,3727
2020-05-16,3977.14286
2020-05-17,4076.71429
2020-05-18,4222.85714
2020-05-19,4597.57143
2020-05-20,4853.28571
2020-05-21,5175.57143
2020-05-22,5572.85714
2020-05-23,5825
2020-05-24,6119.71429
2020-05-25,6374.57143
2020-05-26,6331.14286
2020-05-27,6579.71429
2020-05-28,6737.14286
2020-05-29,6956.71429
2020-05-30,7200.57143
2020-05-31,7439
2020-06-01,7631.42857
2020-06-02,8056.85714
2020-06-03,8391.14286
2020-06-04,8761
2020-06-05,8956.14286
2020-06-06,9256.42857
2020-06-07,9553.85714
2020-06-08,9651.14286
2020-06-09,9850.71429
2020-06-10,9968.71429
2020-06-11,10117.42857
2020-06-12,10401.28571
2020-06-13,10614.28571
2020-06-14,10705.42857
2020-06-15,11023.28571
2020-06-16,11131.28571
2020-06-17,11477.28571
2020-06-18,11856.71429
2020-06-19,12293.57143
2020-06-20,12789.85714
2020-06-21,13265.42857
2020-06-22,13874.85714
2020-06-23,14588.28571
2020-06-24,15165.57143
2020-06-25,15695.57143
2020-06-26,16272.14286
2020-06-27,16915.42857
2020-06-28,17576.57143
2020-06-29,18089.28571
2020-06-30,18471.14286
2020-07-01,18790.85714
2020-07-02,19306.14286
2020-07-03,19908.85714
2020-07-04,20615.14286
2020-07-05,21299.28571
2020-07-06,21832
2020-07-07,22419.42857
2020-07-08,23236.42857
2020-07-09,24036.85714
2020-07-10,24657.28571
2020-07-11,25193.85714
2020-07-12,25834.42857
2020-07-13,26726.85714
2020-07-14,27680.57143
2020-07-15,28794.42857
2020-07-16,30004.28571
2020-07-17,31166.85714
2020-07-18,32608.42857
2020-07-19,34278.85714
2020-07-20,35512.28571
2020-07-21,36699.57143
2020-07-22,38563
2020-07-23,40610.85714
2020-07-24,42562.85714
2020-07-25,43979.14286
2020-07-26,45344.28571
2020-07-27,46390.71429
2020-07-28,48370.14286
2020-07-29,49023.57143
2020-07-30,49519.71429
2020-07-31,51280.57143
2020-08-01,52155.42857
2020-08-02,52582.71429
2020-08-03,53667.42857
2020-08-04,53797.85714
2020-08-05,54653.28571
2020-08-06,56046.85714
2020-08-07,56089
2020-08-08,57469.57143
2020-08-09,58768.42857
2020-08-10,58990
2020-08-11,60197.71429
2020-08-12,61728.71429
2020-08-13,62016.57143
2020-08-14,62473
2020-08-15,62420.28571
2020-08-16,61798.42857
2020-08-17,62000.85714
2020-08-18,62516.42857
2020-08-19,62898.28571
2020-08-20,63519.28571
2020-08-21,64254.14286
2020-08-22,64998.28571
2020-08-23,65526.42857
2020-08-24,66377.42857
2020-08-25,65327.71429
2020-08-26,67615.57143
2020-08-27,68810.71429
2020-08-28,69753
2020-08-29,71113.28571
2020-08-30,73556.71429
2020-08-31,74834.71429
2020-09-01,77853.71429
2020-09-02,77596
2020-09-03,78463.85714
2020-09-04,79886.71429
2020-09-05,81582.57143
2020-09-06,83338.28571
2020-09-07,84179.42857
2020-09-08,85800.71429
2020-09-09,87493.85714
2020-09-10,89381
2020-09-11,90972.14286
2020-09-12,91506.42857
2020-09-13,91687.71429
2020-09-14,92830.57143
2020-09-15,92890.14286
2020-09-16,93198.57143
2020-09-17,93180.42857
2020-09-18,92575.71429
2020-09-19,92323.28571
2020-09-20,91593.28571
